Invoice #,Ex. Order No,Customer,Event,Venue,Event Date,Section,Row,Low Seat,High Seat,Sold Qty,Sale Date,Purchase Price/tix,Sell Price/tix,Total Purchase Price,Total Sell Price,Profit Loss,ROI(%),Margin,Shipping Cost,Tax
95392,523954650,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,1,2023-10-07 11:19:00,163.22,243.46,163.22,243.46,80.24,49.16,32.96,0,0
94891,8yngsgnx839,SeatGeek,"Austin City Limits Festival 2023 with Kendrick Lamar, The 1975, Hozier and more - Weekend Two - 3 Day Pass (10/13-10/15)",Zilker Park,2023-10-13 12:00:00,General Admission,3DAY,0,0,1,2023-10-05 19:17:00,327.33,403.2,327.33,403.2,75.87,23.18,18.82,0,0
93623,522903999,VGG,"Austin City Limits Festival - Weekend Two - Saturday Only (Foo Fighters, The 1975, Alanis Morissette and more)",Zilker Park,2023-10-14 13:00:00,General Admission,Saturday,0,0,1,2023-09-17 18:17:00,163.22,271.66,163.22,271.66,108.44,66.44,39.92,0,0
94643,312799807,TickPick,"Austin City Limits Festival 2023 with Kendrick Lamar, The 1975, Hozier and more - Weekend Two - 3 Day Pass (10/13-10/15)",Zilker Park,2023-10-13 12:00:00,General Admission,3DAY,0,0,5,2023-10-03 14:08:00,375.0,377.1,1875.0,1885.5,10.5,0.56,0.56,0,0
85928,518871058,VGG,"Austin City Limits Festival 2023 with Kendrick Lamar, The 1975, Hozier and more - Weekend Two - 3 Day Pass (10/13-10/15)",Zilker Park,2023-10-13 12:00:00,General Admission,3DAY,0,0,2,2023-07-06 20:40:00,327.33,394.8,654.66,789.6,134.94,20.61,17.09,0,0
95504,523970551,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,1,2023-10-07 15:16:00,163.22,258.5,163.22,258.5,95.28,58.38,36.86,0,0
94841,523856426,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,2,2023-10-05 15:22:00,163.22,197.4,326.44,394.8,68.36,20.94,17.32,0,0
84711,517964739,VGG,"Austin City Limits Festival - Weekend Two - Saturday Only (Foo Fighters, The 1975, Alanis Morissette and more)",Zilker Park,2023-10-14 13:00:00,General Admission,Saturday,0,0,2,2023-06-17 15:01:00,163.22,187.06,326.44,374.12,47.68,14.61,12.74,0,0
94142,808489044,TickPick,"Austin City Limits Music Festival with Kendrick Lamar, Shania Twain, Hozier and more - Weekend One - 3 Day Pass (10/6-10/8)",Zilker Park,2023-10-06 11:59:00,General Admission,3DAY,0,0,2,2023-09-26 11:43:00,375.0,402.3,750.0,804.6,54.6,7.28,6.79,0,0
84236,517733274,VGG,"Austin City Limits Music Festival with Kendrick Lamar, Shania Twain, Hozier and more - Weekend One - 3 Day Pass (10/6-10/8)",Zilker Park,2023-10-06 11:59:00,General Admission,3DAY,0,0,1,2023-06-13 12:23:00,327.33,393.86,327.33,393.86,66.53,20.33,16.89,0,0
95355,523949670,VGG,"Austin City Limits Festival - Weekend One - Saturday Only (Foo Fighters, Shania Twain, Alanis Morissette and more)",Zilker Park,2023-10-07 12:00:00,General Admission,Saturday,0,0,1,2023-10-07 09:55:00,163.22,234.06,163.22,234.06,70.84,43.4,30.27,0,0
81240,515987312,VGG,"Austin City Limits Music Festival with Kendrick Lamar, Shania Twain, Hozier and more - Weekend One - 3 Day Pass (10/6-10/8)",Zilker Park,2023-10-06 11:59:00,General Admission,3DAY,0,0,1,2023-05-09 12:04:00,327.33,337.46,327.33,337.46,10.13,3.09,3.0,0,0
93823,12396643 ,Ticket Evolution,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,2,2023-09-20 22:57:00,163.22,189.0,326.44,378.0,51.56,15.79,13.64,0,0
81265,515992142,VGG,"Austin City Limits Festival 2023 with Kendrick Lamar, The 1975, Hozier and more - Weekend Two - 3 Day Pass (10/13-10/15)",Zilker Park,2023-10-13 12:00:00,General Admission,3DAY,0,0,2,2023-05-09 13:45:00,327.33,343.1,654.66,686.2,31.54,4.82,4.6,0,0
94974,526gh9q7n9x,SeatGeek,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,1,2023-10-05 23:01:00,163.22,191.04,163.22,191.04,27.82,17.04,14.56,0,0
92888,522603504,VGG,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,3,2023-09-12 16:07:00,163.22,177.66,489.66,532.98,43.32,8.85,8.13,0,0
79575,515092230,VGG,"Austin City Limits Music Festival with Kendrick Lamar, Shania Twain, Hozier and more - Weekend One - 3 Day Pass (10/6-10/8)",Zilker Park,2023-10-06 11:59:00,General Admission,3DAY,0,0,2,2023-04-21 03:27:00,327.33,234.06,654.66,468.12,-186.54,0.0,39.85,0,0
95065,523895560,VGG,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,1,2023-10-06 10:48:00,163.22,187.06,163.22,187.06,23.84,14.61,12.74,0,0
92458,3x9gfxdyoe3,SeatGeek,"Austin City Limits Festival - Weekend One - Friday Only (Kendrick Lamar, The Lumineers, Kali Uchis and more)",Zilker Park,2023-10-06 13:00:00,General Admission,Friday,0,0,1,2023-09-06 21:02:00,163.22,177.6,163.22,177.6,14.38,8.81,8.1,0,0
